"id","text","video_id","category","clean_text","model_prediction","is_correct","actual_pillar","notes"
"2d5982a8-9f33-413b-90c4-a20e5ff362f7","neighbours:","24648b27-cd4f-4ad6-82ba-e5dc775910b9","comedy","neighbours:","NEUTRAL","1","","neutral (0.998)"
"2a56c77d-d349-444b-80ac-90662473db4e","letter pfp seeing this:","24648b27-cd4f-4ad6-82ba-e5dc775910b9","comedy","letter pfp seeing this:","NEUTRAL","1","","neutral (0.998)"
"fd74c41c-67f8-46a1-9a09-90c682ed2296","[Sticker] no way brosquito won a 1v3 against higher levels 😭🙏","24648b27-cd4f-4ad6-82ba-e5dc775910b9","comedy","no way brosquito won a 1v3 against higher levels :loudly_crying_face: :folded_hands:","NEUTRAL","0","SURPRISE","neutral (0.809)"
"c8cad754-a1c9-48f9-beed-2849a3c88861","[Sticker] The camera man","24648b27-cd4f-4ad6-82ba-e5dc775910b9","comedy","The camera man","NEUTRAL","1","","neutral (0.998)"
"5947361a-15c7-46f3-8cd3-732c05909919","bedwars clutch","24648b27-cd4f-4ad6-82ba-e5dc775910b9","comedy","bedwars clutch","NEUTRAL","1","","neutral (0.998)"
"f13e5c66-b775-4d44-8d81-5a580a0e440a","Whole house mad","24648b27-cd4f-4ad6-82ba-e5dc775910b9","comedy","Whole house mad","NEUTRAL","1","","neutral (0.708)"
"424d9423-f6a1-4b88-a5ac-c2241505b51b","[Sticker] the cameraman:","24648b27-cd4f-4ad6-82ba-e5dc775910b9","comedy","the cameraman:","NEUTRAL","1","","neutral (0.998)"
"6519b496-36fb-4744-b3fd-efbb3de1dce9","effortlessly funny 🥰","72653211-7063-44dc-bee3-f9c6c73f1bd1","comedy","effortlessly funny :smiling_face_with_hearts:","JOY","1","","amusement (0.962)"
"61e8ae8d-d46c-4cf5-9abc-ad4eed657242","crowd sourcing comedy is very nice 😂😂😂","72653211-7063-44dc-bee3-f9c6c73f1bd1","comedy","crowd sourcing comedy is very nice :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy:","JOY","1","","joy (0.45)"
"1099acc8-2827-42dd-bd54-4ff3dd5c94d4","Righttt😂","72653211-7063-44dc-bee3-f9c6c73f1bd1","comedy","Righttt :face_with_tears_of_joy:","JOY","1","","joy (0.55)"
"e43115bf-d90f-493d-b055-5c24a4608f15","where is my soulmate","72653211-7063-44dc-bee3-f9c6c73f1bd1","comedy","where is my soulmate","SURPRISE","1","","curiosity (0.36)"
"ffa9ca37-6df6-4b74-b5dd-4390aab69b6c","First one is a LAWSUIT! lol","7b88178b-0dea-411a-a27b-24694ebf3975","comedy","First one is a LAWSUIT! lol","JOY","1","","amusement (0.983)"
"540cbbaa-42c1-4528-9528-9d015be65760","It’s the “oh shit I’m gonna fall”","7b88178b-0dea-411a-a27b-24694ebf3975","comedy","It's the oh shit I'm gonna fall","SADNESS","1","","disappointment (0.277)"
"019c05dc-82f1-4501-b857-c1b88f1db02c","the moment she realized things didn’t go according to plan","7b88178b-0dea-411a-a27b-24694ebf3975","comedy","the moment she realized things didn't go according to plan","SURPRISE","1","","realization (0.899)"
"68ff6054-9d21-4785-8657-bb61c2656440","Last one is so Raven Baxter coded 😂","7b88178b-0dea-411a-a27b-24694ebf3975","comedy","Last one is so Raven Baxter coded :face_with_tears_of_joy:","NEUTRAL","0","JOY","neutral (0.756)"
"806bfaf0-02f9-4489-bd20-87dedbc8e681","The Lorax is real y'all.","7b88178b-0dea-411a-a27b-24694ebf3975","comedy","The Lorax is real y'all.","NEUTRAL","1","","neutral (0.866)"
"2cd6785c-320e-4c23-bc9a-6034554875df","tears are streaming","7b88178b-0dea-411a-a27b-24694ebf3975","comedy","tears are streaming","NEUTRAL","0","JOY","neutral (0.96)"
"88c05ac0-61f4-47bb-afe5-c2aa62204e37","movie name","84f77426-7c3e-475a-9953-497f977d3208","comedy","movie name","NEUTRAL","1","","neutral (0.994)"
"e8195b6a-030f-4f6c-b1a1-3e98a0de6627","[Sticker] respect","84f77426-7c3e-475a-9953-497f977d3208","comedy","respect","NEUTRAL","1","","neutral (0.385)"
"179ca006-6a9a-44fb-bb4e-03b487920c6d","Giorno Giovanna","84f77426-7c3e-475a-9953-497f977d3208","comedy","Giorno Giovanna","NEUTRAL","1","","neutral (0.997)"
"a8a58acb-2162-47c2-84a4-8776d21ff801","Bronx tale","84f77426-7c3e-475a-9953-497f977d3208","comedy","Bronx tale","NEUTRAL","1","","neutral (0.998)"
"5037dc33-cf07-400e-990d-640ad9324737","Goodfellas","84f77426-7c3e-475a-9953-497f977d3208","comedy","Goodfellas","NEUTRAL","1","","neutral (0.997)"
"15d30d04-c722-4d07-976f-d7283c95af8f","[Sticker] “Hey kid”","84f77426-7c3e-475a-9953-497f977d3208","comedy","Hey kid","NEUTRAL","1","","neutral (0.997)"
"ed7c0118-caa8-4b34-b868-39e2b22f0428","😂😂","8d71730b-e170-4754-8b11-ee5e6ed4b23b","comedy",":face_with_tears_of_joy: :face_with_tears_of_joy:","NEUTRAL","0","JOY","neutral (0.481)"
"e319b088-183a-4653-ac0e-330d8cc651fe","am I the only one who sees the line on the screen why's no one talking about that😭","8d71730b-e170-4754-8b11-ee5e6ed4b23b","comedy","am I the only one who sees the line on the screen why's no one talking about that :loudly_crying_face:","NEUTRAL","0","SURPRISE","neutral (0.554)"
"20555be6-cf1b-41a4-aab4-172ee1707eb5","does anyone else see the line through the screen","8d71730b-e170-4754-8b11-ee5e6ed4b23b","comedy","does anyone else see the line through the screen","NEUTRAL","0","SURPRISE","neutral (0.609)"
