id,text,model_prediction,is_correct,actual_pillar,clean_text,notes,category,video_id
e7b5e176-13b7-49db-9d32-8a15f6a8e32c,someone add dante to this story pls,NEUTRAL,1,"",someone add dante to this story pls,neutral (0.998),comedy,3f814780-efdd-4b11-b886-09fb35b3ca06
dd45ea56-5378-4658-9b35-4ca34677d8f2,“It’s like life saving stuff”. Thank you vita spray,JOY,1,"",It's like life saving stuff. Thank you vita spray,gratitude (0.999),comedy,3f814780-efdd-4b11-b886-09fb35b3ca06
e3943476-d284-4592-9fc1-b653ddb58f20,When they finally put out the perfect dlc😂😂😂,NEUTRAL,0,JOY,When they finally put out the perfect dlc :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy:,neutral (0.758),comedy,3f814780-efdd-4b11-b886-09fb35b3ca06
aeaa2e7f-ea00-4db7-9525-38e01ad9ee05,i would watch them kiss,NEUTRAL,1,"",i would watch them kiss,neutral (0.981),comedy,3f814780-efdd-4b11-b886-09fb35b3ca06
2becfd71-094f-464b-8171-719023273ca1,Tweekers,NEUTRAL,0,ANGER,Tweekers,neutral (0.997),comedy,438622bc-70dc-4215-b5a2-f293ff090c06
2ff4217a-2c87-4327-a363-62a7a0060561,Song name?,NEUTRAL,1,"",Song name?,neutral (0.774),comedy,438622bc-70dc-4215-b5a2-f293ff090c06
3c5c4b98-260f-4d15-b142-b53d492c0348,shutup_1299,NEUTRAL,1,"",shutup_1299,neutral (0.997),comedy,438622bc-70dc-4215-b5a2-f293ff090c06
bacfc486-3ce4-4ae8-a4cb-f757c3ce4b6e,I heard pushy😭😭😭,NEUTRAL,0,SURPRISE,I heard pushy :loudly_crying_face: :loudly_crying_face: :loudly_crying_face:,neutral (0.981),comedy,62299701-aa24-401a-a09a-e7d8f3526c89
a6515fed-66e3-4de2-a999-49f43c59ace6,Someone gonna get McQueen pleasure tonight😂,JOY,1,"",Someone gonna get McQueen pleasure tonight :face_with_tears_of_joy:,joy (0.86),comedy,62299701-aa24-401a-a09a-e7d8f3526c89
70f5c133-b6ac-4564-a93f-603ff4c37895,reminds me of my girlfriend,SURPRISE,0,JOY,reminds me of my girlfriend,realization (0.577),comedy,75aaa079-c557-45bd-a8b9-46a6948bb331
dfa5a857-3944-4bca-9f67-56008156dbf5,When you open a losing trade 😂,NEUTRAL,0,JOY,When you open a losing trade :face_with_tears_of_joy:,neutral (0.848),comedy,75aaa079-c557-45bd-a8b9-46a6948bb331
311982ac-5416-4214-aa7e-0895d2e284fa,That’s the craziest tourret I’ve ever witnessed 😂💀,JOY,0,SURPRISE,That's the craziest tourret I've ever witnessed :face_with_tears_of_joy: :skull:,excitement (0.767),comedy,75aaa079-c557-45bd-a8b9-46a6948bb331
2902f436-598a-4719-b574-2c8606ea788a,Direct eye contact is crazy,NEUTRAL,0,SURPRISE,Direct eye contact is crazy,neutral (0.414),comedy,75aaa079-c557-45bd-a8b9-46a6948bb331
65244f17-de78-4845-91ab-078781b74981,😢👏👏,NEUTRAL,0,SURPRISE,:crying_face: :clapping_hands: :clapping_hands:,neutral (0.977),comedy,8d806655-ecb4-4491-a25a-331a070c2f39
127f27c6-4805-4624-b0dd-fa0b097cece0,unfoldedai,NEUTRAL,1,"",unfoldedai,neutral (0.998),comedy,8d806655-ecb4-4491-a25a-331a070c2f39
a2d9968c-3253-4023-8ea4-2d2bde4db072,Diiiillggggggggdungggggggdillllagung,NEUTRAL,1,"",Diiiillggggggggdungggggggdillllagung,neutral (0.997),comedy,8d806655-ecb4-4491-a25a-331a070c2f39
